product_name,category,Total_Units_Sold,Total_Revenue
"Progressive methodical attitude",Electronics,170,58321.90
"Enterprise-wide 3rdgeneration website",Books,142,54499.60
"Grass-roots logistical methodology",Books,150,53877.00
"Visionary didactic hub",Sports,140,52361.40
"Distributed disintermediate groupware",Books,119,46458.79
"Switchable modular toolset",Sports,125,44326.25
"Multi-layered grid-enabled workforce",Clothing,110,43345.50
"Business-focused asynchronous protocol",Electronics,121,42310.07
"Progressive hybrid array",Clothing,158,41219.04
"Decentralized transitional software",Electronics,112,40429.76
